Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000107508	Gm44083	6
ENSMUSG00000028804	Csmd2	4
ENSMUSG00000110885	CT009696.2	9
ENSMUSG00000059547	Fbxw26	9
ENSMUSG00000057406	Nsd2	5
ENSMUSG00000108717	Gm44940	7
ENSMUSG00000107622	4930512J16Rik	6
ENSMUSG00000111462	CT025619.4	9
ENSMUSG00000094136	Gm5973	1
ENSMUSG00000111158	CT025619.3	9
ENSMUSG00000111593	CT009696.3	9
ENSMUSG00000014599	Csf1	3
ENSMUSG00000098093	Gm8707	9
ENSMUSG00000112350	AC159474.1	10
ENSMUSG00000073821	8030451A03Rik	4
ENSMUSG00000037593	BC030499	11
ENSMUSG00000083570	Gm14671	X
ENSMUSG00000085750	Gm14009	2
ENSMUSG00000023964	Calcr	6
ENSMUSG00000086879	Gm14012	2
ENSMUSG00000109091	Gm44827	7
ENSMUSG00000029491	Pde6b	5
ENSMUSG00000086755	Gm11216	4
ENSMUSG00000074813	Gm14005	2
ENSMUSG00000083988	Rps10-ps4	5
ENSMUSG00000042439	Zfp532	18
ENSMUSG00000025004	Cyp2c40	19
ENSMUSG00000111747	Olfr1134	2
ENSMUSG00000062826	Ces2f	8
ENSMUSG00000053129	Gsx1	5
ENSMUSG00000063844	Olfr1276	2
ENSMUSG00000006403	Adamts4	1
ENSMUSG00000050587	Lrrc4c	2
ENSMUSG00000084933	Gm13962	2
ENSMUSG00000032725	Folr2	7
ENSMUSG00000045508	Olfr1367	13
ENSMUSG00000029644	Pdx1	5
ENSMUSG00000073797	Gm12650	4
ENSMUSG00000079053	Gm14010	2
ENSMUSG00000081685	Gm12647	4
ENSMUSG00000099966	2810402E24Rik	14
ENSMUSG00000111842	AC163623.1	9
ENSMUSG00000087622	Gm12290	11
ENSMUSG00000114963	AL844586.1	2
ENSMUSG00000022136	Dnajc3	14
ENSMUSG00000003410	Elavl3	9
ENSMUSG00000110629	4930567H12Rik	8
ENSMUSG00000075425	Gm13547	2
ENSMUSG00000092570	Plut	5
ENSMUSG00000049093	Il23r	6
ENSMUSG00000047759	Hs3st3a1	11
ENSMUSG00000108510	Gm45192	14
ENSMUSG00000058188	Olfr746	14
ENSMUSG00000109862	Vmn2r-ps50	7
ENSMUSG00000113686	Gm19189	13
ENSMUSG00000024391	Apom	17
ENSMUSG00000090342	Vmn2r46	7
ENSMUSG00000072847	A530017D24Rik	11
ENSMUSG00000078144	Capns2	8
ENSMUSG00000087295	Gm3948	11
ENSMUSG00000098053	Gm27033	5
ENSMUSG00000036721	Zscan12	13
ENSMUSG00000079479	Gm9112	X
ENSMUSG00000109227	Gm29791	7
ENSMUSG00000028218	Fam92a	4
ENSMUSG00000090449	Gm17076	2
ENSMUSG00000029646	Cdx2	5
ENSMUSG00000098196	Gm26964	11
ENSMUSG00000100726	Gm21497	Y
ENSMUSG00000110306	Gm18192	7
ENSMUSG00000091288	Gm17075	2
ENSMUSG00000053565	Eif3k	7
ENSMUSG00000110295	Gm45319	7
ENSMUSG00000114176	AC121947.1	13
ENSMUSG00000091061	4930445B16Rik	2
ENSMUSG00000073985	Gm10602	7
ENSMUSG00000113240	AC126799.1	13
ENSMUSG00000102619	Gm37849	1
ENSMUSG00000031458	Coprs	8
ENSMUSG00000039826	Trub2	2
ENSMUSG00000050930	Map10	8
ENSMUSG00000105549	Gm43540	5
ENSMUSG00000103096	Gm8022	1
ENSMUSG00000001305	Rrp15	1
ENSMUSG00000114640	AC159205.5	13
ENSMUSG00000105688	4930437M23Rik	5
ENSMUSG00000034913	Spert	14
ENSMUSG00000090475	Gm6245	13
ENSMUSG00000113389	Gm9512	13
ENSMUSG00000073027	Dmrtc1b	X
ENSMUSG00000095296	Gm8906	5
ENSMUSG00000096269	Rpl31-ps21	5
ENSMUSG00000114263	AC159205.1	13
ENSMUSG00000021589	Rhobtb3	13
ENSMUSG00000112092	Gm32936	12
ENSMUSG00000113410	Gm20043	13
ENSMUSG00000059562	Ccdc154	17
ENSMUSG00000113347	CT572985.2	13
ENSMUSG00000114560	AC159205.2	13
ENSMUSG00000081508	Gm12654	4
ENSMUSG00000113848	Gm16419	13
ENSMUSG00000075543	Urad	5
ENSMUSG00000085931	Gm12648	4
ENSMUSG00000075153	Olfr1135	2
ENSMUSG00000106116	Gm18830	5
ENSMUSG00000113789	AC139941.2	13
ENSMUSG00000100474	Gm29614	Y
ENSMUSG00000059852	Kcng2	18
ENSMUSG00000074965	Olfr1277	2
ENSMUSG00000037953	A4gnt	9
ENSMUSG00000036114	Rpp25l	4
ENSMUSG00000100757	Gm29613	Y
ENSMUSG00000013593	Ndufs2	1
ENSMUSG00000106939	Gm29778	5
ENSMUSG00000087459	Csmd2os	4
ENSMUSG00000100708	Gm21173	Y
ENSMUSG00000050335	Lgals3	14
ENSMUSG00000019139	Isyna1	8
ENSMUSG00000041440	Gk5	9
ENSMUSG00000104286	Gm37457	9
ENSMUSG00000102959	Gm37015	18
ENSMUSG00000029163	Emilin1	5
ENSMUSG00000097593	Gm26676	18
ENSMUSG00000114799	AC124549.2	13
ENSMUSG00000102369	9530022L04Rik	3
ENSMUSG00000102260	D330025C20Rik	18
ENSMUSG00000032691	Nlrp3	11
ENSMUSG00000082863	Gm14674	X
ENSMUSG00000042817	Flt3	5
ENSMUSG00000047804	Akap10	11
ENSMUSG00000037652	Phc3	3
ENSMUSG00000114861	AC124549.3	13
ENSMUSG00000112687	Gm18871	12
ENSMUSG00000114525	AC124549.1	13
ENSMUSG00000035234	Abraxas1	5
ENSMUSG00000038683	Pak1ip1	13
ENSMUSG00000091515	Zfp422-ps	17
ENSMUSG00000099739	Gm20804	Y
ENSMUSG00000031182	4930447F04Rik	X
ENSMUSG00000111466	AC153847.1	10
ENSMUSG00000092225	Gm2381	7
ENSMUSG00000015709	Arnt2	7
ENSMUSG00000018921	Pelp1	11
ENSMUSG00000111036	AC135669.1	10
ENSMUSG00000042032	Mat2b	11
ENSMUSG00000104312	Gm37912	1
ENSMUSG00000112840	Gm20049	12
ENSMUSG00000081816	Gm15528	13
ENSMUSG00000103194	Gm37643	18
ENSMUSG00000039224	D1Pas1	1
ENSMUSG00000038822	Hace1	10
ENSMUSG00000113549	Gm7739	12
ENSMUSG00000011096	Akt1s1	7
ENSMUSG00000104072	4930448I06Rik	1
ENSMUSG00000073006	Gm732	X
ENSMUSG00000100185	Gm28634	1
ENSMUSG00000034401	Spata6	4
ENSMUSG00000036790	Slitrk2	X
ENSMUSG00000081950	Gm11600	1
ENSMUSG00000042502	Cd2bp2	7
ENSMUSG00000092191	Gm7211	7
ENSMUSG00000052221	Ppp1r36	12
ENSMUSG00000003929	Zfp81	17
ENSMUSG00000041164	Zmiz2	11
ENSMUSG00000068551	Zfp467	6
ENSMUSG00000090751	Vmn2r63	7
ENSMUSG00000102279	Gm37146	1
ENSMUSG00000034781	Gna11	10
ENSMUSG00000083544	Oat-rs1	X
ENSMUSG00000093686	Gm4705	17
ENSMUSG00000086421	Gm14091	2
ENSMUSG00000095321	Gm2092	X
ENSMUSG00000083832	Gm13771	2
ENSMUSG00000035201	B020004J07Rik	4
ENSMUSG00000113678	Gm6068	12
ENSMUSG00000081807	Gm14849	X
ENSMUSG00000102199	Gm38172	12
ENSMUSG00000103630	Gm37242	1
ENSMUSG00000015083	C8g	2
ENSMUSG00000102568	Gm37040	9
ENSMUSG00000114112	AC158523.3	12
ENSMUSG00000047714	Ppp1r2	16
ENSMUSG00000084074	Gm8310	X
ENSMUSG00000035735	Dagla	19
ENSMUSG00000036251	Trpm8	1
ENSMUSG00000113518	AC158523.1	12
ENSMUSG00000085598	Gm14715	X
ENSMUSG00000103943	Gm37344	Y
ENSMUSG00000115323	AC140280.1	14
ENSMUSG00000081603	Gm14681	X
ENSMUSG00000100119	2700089I24Rik	19
ENSMUSG00000040969	Arhgef38	3
ENSMUSG00000081386	Gm15160	X
ENSMUSG00000103792	Gm3745	3
ENSMUSG00000109565	Gm6579	7
ENSMUSG00000080892	Gm9266	7
ENSMUSG00000055109	Gm15155	X
ENSMUSG00000084333	Gm11599	1
ENSMUSG00000090965	Gm17203	19
ENSMUSG00000102624	Gm37059	Y
ENSMUSG00000081121	Gm12791	4
ENSMUSG00000044609	Gm9294	7
ENSMUSG00000102138	Gm31942	Y
ENSMUSG00000100302	Gm29670	1
ENSMUSG00000004891	Nes	3
ENSMUSG00000041439	Mfsd6	1
ENSMUSG00000081045	Gm12797	4
ENSMUSG00000082354	Gm378	X
ENSMUSG00000114672	AC159205.7	13
ENSMUSG00000050912	Tmem123	9
ENSMUSG00000114601	AC159205.4	13
ENSMUSG00000052563	D930048N14Rik	11
ENSMUSG00000102582	Gm37440	Y
ENSMUSG00000097228	Gm26597	5
ENSMUSG00000114363	AC100209.1	13
ENSMUSG00000021360	Gcnt2	13
ENSMUSG00000091528	Gm9268	7
ENSMUSG00000057157	Gm6054	5
ENSMUSG00000032078	Zpr1	9
ENSMUSG00000107570	Gm44207	6
ENSMUSG00000031302	Nlgn3	X
ENSMUSG00000001053	N4bp3	11
ENSMUSG00000097816	Gm26811	6
ENSMUSG00000046133	C130073F10Rik	4
ENSMUSG00000107037	Gm29793	5
ENSMUSG00000106820	D5Ertd605e	5
ENSMUSG00000030084	Plxna1	6
ENSMUSG00000107336	Gm43461	5
ENSMUSG00000101608	Gm28652	9
ENSMUSG00000106891	Gm43460	5
ENSMUSG00000038520	Tbc1d17	7
ENSMUSG00000050526	4933406M09Rik	1
ENSMUSG00000114890	AC129975.2	14
ENSMUSG00000114202	AC129975.1	14
ENSMUSG00000026502	Desi2	1
ENSMUSG00000105607	Gm43513	5
ENSMUSG00000105755	Gm43514	5
ENSMUSG00000114296	AC138667.1	14
ENSMUSG00000114769	AC138667.2	14
ENSMUSG00000106791	4930553P18Rik	6
ENSMUSG00000114895	AC154747.4	13
ENSMUSG00000103708	Gm33222	1
ENSMUSG00000102406	A730094K22Rik	9
ENSMUSG00000036534	Slc38a7	8
ENSMUSG00000057179	Olfr747	14
ENSMUSG00000110060	Gm9860	7
ENSMUSG00000114399	AC154747.2	13
ENSMUSG00000004892	Bcan	3
ENSMUSG00000071203	Naip5	13
ENSMUSG00000030838	Ush1c	7
ENSMUSG00000114638	AC154747.3	13
ENSMUSG00000084959	4933407I08Rik	18
ENSMUSG00000037754	Ppp1r16b	2
ENSMUSG00000038991	Txndc5	13
ENSMUSG00000024500	Ppp2r2b	18
ENSMUSG00000097749	Gm16938	7
ENSMUSG00000069135	Fgfr1op	17
ENSMUSG00000106104	Gm42660	5
ENSMUSG00000074006	Omp	7
ENSMUSG00000105650	Gm42889	6
ENSMUSG00000035547	Capn5	7
ENSMUSG00000051397	Tacstd2	6
ENSMUSG00000033502	Cdc14a	3
ENSMUSG00000031851	Ntpcr	8
ENSMUSG00000002930	Ppp1r17	6
ENSMUSG00000107085	Gm42883	5
ENSMUSG00000073914	Olfr677	7
ENSMUSG00000076501	Igkv2-137	6
ENSMUSG00000114723	AC133496.1	13
ENSMUSG00000083020	Gm15331	17
ENSMUSG00000029647	Pan3	5
ENSMUSG00000114662	AC159205.6	13
ENSMUSG00000106156	Gm21040	5
ENSMUSG00000109676	Gm8913	7
ENSMUSG00000111849	AC122428.4	9
ENSMUSG00000097564	C430014B12Rik	1
ENSMUSG00000086693	A730081D07Rik	13
ENSMUSG00000108592	Gm38973	7
ENSMUSG00000114411	AC100209.2	13
ENSMUSG00000099673	Scgb2b30	7
ENSMUSG00000104789	Gm43640	5
ENSMUSG00000079465	Col4a3	1
ENSMUSG00000103666	Gm38185	Y
ENSMUSG00000015095	Fbxw5	2
ENSMUSG00000092618	Btnl6	17
ENSMUSG00000022665	Ccdc80	16
ENSMUSG00000091531	Olfr102	17
ENSMUSG00000104207	Gm37395	Y
ENSMUSG00000094787	Ighv1-54	12
ENSMUSG00000073000	Gm10451	12
ENSMUSG00000053783	1700016K19Rik	11
ENSMUSG00000020260	Pofut2	10
ENSMUSG00000029669	Tspan12	6
ENSMUSG00000106265	Gm42490	5
ENSMUSG00000084970	1700060J05Rik	4
ENSMUSG00000094226	Gm21759	5
ENSMUSG00000112494	4930444K16Rik	10
ENSMUSG00000084208	Gm12792	4
ENSMUSG00000026817	Ak1	2
ENSMUSG00000040537	Adam22	5
ENSMUSG00000007944	Ttc9b	7
ENSMUSG00000090114	Gm3076	3
ENSMUSG00000028360	Slc44a5	3
ENSMUSG00000030001	Figla	6
ENSMUSG00000056222	Spock1	13
ENSMUSG00000114039	AC158523.2	12
ENSMUSG00000022216	Psme1	14
ENSMUSG00000040390	Map3k10	7
ENSMUSG00000086390	1810019D21Rik	8
ENSMUSG00000115432	AC135119.1	14
ENSMUSG00000085420	4930453O03Rik	1
ENSMUSG00000055240	Zfp101	17
ENSMUSG00000109323	Gm44968	7
ENSMUSG00000014349	Ube2z	11
ENSMUSG00000106609	Gm43181	5
ENSMUSG00000084128	Esrp2	8
ENSMUSG00000111491	AC135669.2	10
ENSMUSG00000073913	Olfr678	7
ENSMUSG00000104728	Gm42462	5
ENSMUSG00000114504	AC154681.1	14
ENSMUSG00000034361	Cpne2	8
ENSMUSG00000082601	Gm12700	4
ENSMUSG00000109972	Gm17989	7
ENSMUSG00000021779	Thrb	14
ENSMUSG00000101041	Gm29353	Y
ENSMUSG00000085657	Gm15984	5
ENSMUSG00000038235	F11r	1
ENSMUSG00000101611	Gm29357	Y
ENSMUSG00000021318	Gli3	13
ENSMUSG00000017499	Cdc6	11
ENSMUSG00000037996	Slc24a2	4
ENSMUSG00000035473	Galm	17
ENSMUSG00000109511	Nup62	7
ENSMUSG00000029228	Lnx1	5
ENSMUSG00000078444	Gm10941	10
ENSMUSG00000011427	Zfp790	7
ENSMUSG00000074397	Foxr1	9
ENSMUSG00000080795	Gm6783	X
ENSMUSG00000106871	Gm3289	6
ENSMUSG00000098029	Gm7745	12
ENSMUSG00000029363	Rfc5	5
ENSMUSG00000106709	Gm30270	6
ENSMUSG00000104622	Gm42541	3
ENSMUSG00000106500	Gm42540	3
ENSMUSG00000081442	Gm14682	X
ENSMUSG00000032497	Lrrfip2	9
ENSMUSG00000032606	Nicn1	9
ENSMUSG00000033323	Ctdp1	18
ENSMUSG00000074754	Smim26	2
ENSMUSG00000026150	Mff	1
ENSMUSG00000082686	Gm12961	4
ENSMUSG00000100874	Gm28598	Y
ENSMUSG00000038539	Atf5	7
ENSMUSG00000022037	Clu	14
ENSMUSG00000100514	Gm12960	4
ENSMUSG00000101689	Gm28599	Y
ENSMUSG00000083441	Gm15329	17
ENSMUSG00000104424	Gm19058	1
ENSMUSG00000107488	Gm31579	6
ENSMUSG00000061728	Btnl7-ps	17
ENSMUSG00000114576	CT009518.1	13
ENSMUSG00000104201	4930535G08Rik	1
ENSMUSG00000085491	4930527E20Rik	2
ENSMUSG00000115158	CT009556.2	14
ENSMUSG00000112862	AC153870.1	10
ENSMUSG00000101285	Gm28600	Y
ENSMUSG00000115083	CT009556.1	14
ENSMUSG00000102434	Gm38049	1
ENSMUSG00000081106	Gm7155	X
ENSMUSG00000100832	Gm29260	1
ENSMUSG00000045216	Hs6st1	1
ENSMUSG00000083193	4930595D18Rik	12
ENSMUSG00000108153	Gm44402	6
ENSMUSG00000096870	Gm21816	16
ENSMUSG00000075040	Zfp408	2
ENSMUSG00000040022	Rab11fip2	19
ENSMUSG00000087128	Gm12655	4
ENSMUSG00000115665	AC093022.3	14
ENSMUSG00000115339	AC142245.1	15
ENSMUSG00000021277	Traf3	12
ENSMUSG00000101238	Gm28123	Y
ENSMUSG00000034636	Zyg11b	4
ENSMUSG00000102289	Gm31258	16
ENSMUSG00000115654	AC123858.1	15
ENSMUSG00000104523	Gm37335	1
ENSMUSG00000047417	Rexo1	10
ENSMUSG00000102267	9530003O04Rik	16
ENSMUSG00000107619	Gm32479	6
ENSMUSG00000115828	AC093022.5	14
ENSMUSG00000102344	9430053O09Rik	16
ENSMUSG00000100178	Gm5267	1
ENSMUSG00000085123	Rubie	14
ENSMUSG00000101877	Gm8176	1
ENSMUSG00000093817	Gm2101	X
ENSMUSG00000103851	Gm37606	16
ENSMUSG00000032551	1110059G10Rik	9
ENSMUSG00000031902	Nfatc3	8
ENSMUSG00000025221	Kcnip2	19
ENSMUSG00000103972	Gm37466	16
ENSMUSG00000068647	Olfr1278	2
ENSMUSG00000085380	E130120K24Rik	14
ENSMUSG00000032110	Acrv1	9
ENSMUSG00000103916	Gm38071	16
ENSMUSG00000006542	Prkag3	1
ENSMUSG00000097806	Gm6556	13
ENSMUSG00000115781	AC093022.4	14
ENSMUSG00000102562	Gm37694	16
ENSMUSG00000103932	Gm36963	16
ENSMUSG00000113191	AC173115.1	13
ENSMUSG00000102575	Gm37241	16
ENSMUSG00000097684	Gm26645	13
ENSMUSG00000087702	Gm13575	2
ENSMUSG00000074141	Il4i1	7
ENSMUSG00000102854	C130023A14Rik	16
ENSMUSG00000102202	Gm33280	1
ENSMUSG00000103049	Gm37311	16
ENSMUSG00000100406	Gm28120	Y
ENSMUSG00000090386	Mir99ahg	16
ENSMUSG00000104011	Gm32391	1
ENSMUSG00000094651	Gal3st2	1
ENSMUSG00000081598	Gm8312	X
ENSMUSG00000109341	Gm30873	7
ENSMUSG00000028541	B4galt2	4
ENSMUSG00000100476	Nanog-ps2	12
ENSMUSG00000099526	Gm29313	Y
ENSMUSG00000075512	Gm1587	14
ENSMUSG00000053640	Gm9915	1
ENSMUSG00000086185	1700036O09Rik	X
ENSMUSG00000029364	Wsb2	5
ENSMUSG00000104614	Fbxw27	9
ENSMUSG00000115257	AC125074.1	14
ENSMUSG00000115513	AC139130.1	15
ENSMUSG00000113429	Gm20063	12
ENSMUSG00000114281	AC161609.1	14
ENSMUSG00000107660	Gm6559	6
ENSMUSG00000115563	AC102139.1	15
ENSMUSG00000112405	Fkbp1a-ps2	10
ENSMUSG00000112167	AC163033.1	12
ENSMUSG00000025584	Pde8a	7
ENSMUSG00000101919	Gm29664	1
ENSMUSG00000112168	Gm34776	10
ENSMUSG00000101299	Gm28175	1
ENSMUSG00000039270	Megf9	4
ENSMUSG00000037535	1700021A07Rik	10
ENSMUSG00000061759	Armt1	10
ENSMUSG00000042248	Cyp2c37	19
ENSMUSG00000108236	0610033M10Rik	6
ENSMUSG00000085057	Gm13415	2
ENSMUSG00000112370	AC153557.1	10
ENSMUSG00000081083	Gm6079	X
ENSMUSG00000082755	Gm8692	X
ENSMUSG00000112738	AC156950.1	10
ENSMUSG00000106005	Gm29151	3
ENSMUSG00000111994	A330049N07Rik	10
ENSMUSG00000084831	Gm14710	X
ENSMUSG00000046589	Lrrc8e	8
ENSMUSG00000002524	Puf60	15
ENSMUSG00000082127	Gm13577	2
ENSMUSG00000060084	Olfr748	14
ENSMUSG00000050844	1700020N01Rik	10
ENSMUSG00000037805	Rpl10a	17
ENSMUSG00000026976	Pax8	2
ENSMUSG00000102915	Gm32460	1
ENSMUSG00000082612	4930503H13Rik	X
ENSMUSG00000100560	Gm21180	Y
ENSMUSG00000083573	Gm7312	X
ENSMUSG00000083010	Gm14687	X
ENSMUSG00000059069	Olfr749	14
ENSMUSG00000103226	Gm37732	1
ENSMUSG00000026857	Ntmt1	2
ENSMUSG00000094821	Gm21518	Y
ENSMUSG00000097281	Gm26685	1
ENSMUSG00000079578	Gm1140	X
ENSMUSG00000110293	Gm45557	7
ENSMUSG00000102389	D630023O14Rik	1
ENSMUSG00000115195	AC146601.1	14
ENSMUSG00000084246	Gm15162	X
ENSMUSG00000021794	Glud1	14
ENSMUSG00000041189	Chrnb1	11
ENSMUSG00000089701	Gm15978	17
ENSMUSG00000096029	Olfr679	7
ENSMUSG00000085711	Gm15163	X
ENSMUSG00000078784	1810022K09Rik	3
ENSMUSG00000022013	Dnajc15	14
